1,2,3
4,"(4, true)",8
5,"(9, true)",9
2,"(5, true)",7
2,"(2, true)",6
5,"(8, true)",9
2,"(4, true)",7
2,"(4, true)",9
2,"(4, true)",7
2,"(2, true)",6
2,"(2, true)",7
3,"(5, true)",9
2,"(2, true)",7
5,"(8, true)",9
0,"(0, true)",7
2,"(2, true)",7
5,"(9, true)",9
2,"(5, true)",8
0,"(0, true)",7
3,"(7, true)",8
3,"(3, true)",7
2,"(4, true)",7
0,"(0, true)",6
2,"(4, true)",7
2,"(5, true)",7
0,"(0, true)",6
4,"(7, true)",8
4,"(7, true)",9
6,"(6, true)",9
2,"(4, true)",7
4,"(6, true)",8
3,"(7, true)",7
2,"(4, true)",7
2,"(4, true)",7
4,"(7, true)",8
2,"(5, true)",8
0,"(0, true)",6
0,"(0, true)",7
6,"(9, true)",9
2,"(7, true)",9
2,"(2, true)",8
4,"(7, true)",9
2,"(4, true)",8
4,"(6, true)",8
3,"(5, true)",8
2,"(5, true)",7
2,"(2, true)",6
0,"(0, true)",6
4,"(6, true)",7
6,"(8, true)",10
2,"(5, true)",7
3,"(3, true)",10
2,"(2, true)",7
2,"(5, true)",9
2,"(5, true)",8
5,"(7, true)",8
0,"(0, true)",7
0,"(0, true)",6
2,"(4, true)",8
2,"(5, true)",7
4,"(7, true)",8
4,"(7, true)",8
2,"(6, true)",8
2,"(4, true)",7
2,"(5, true)",7
2,"(5, true)",9
0,"(0, true)",6
0,"(0, true)",6
4,"(7, true)",8
4,"(6, true)",8
0,"(0, true)",6
2,"(5, true)",8
2,"(5, true)",7
3,"(5, true)",8
0,"(0, true)",10
3,"(6, true)",9
0,"(0, true)",6
2,"(4, true)",8
2,"(4, true)",8
2,"(5, true)",8
0,"(0, true)",6
6,"(7, true)",8
0,"(0, true)",6
4,"(8, true)",8
2,"(2, true)",6
2,"(2, true)",6
5,"(7, true)",9
4,"(4, true)",10
3,"(6, true)",8
3,"(6, true)",7
2,"(4, true)",7
2,"(2, true)",7
3,"(6, true)",10
4,"(8, true)",8
2,"(4, true)",7
0,"(0, true)",7
3,"(6, true)",8
4,"(8, true)",8
2,"(2, true)",7
2,"(2, true)",6
2,"(5, true)",7
